OrderNumber,Name,Address1,Address2,City,State,Postcode,CountryCode,ParcelCount,ConsignmentWeight,ProductTypeDescription,ProductUnitValue,ProductItemOrigin,ProductHarmonizedCode,ProductUnitWeight,ProductQuantity,ProductDescription,ProductFabricContent,EndContactEmail,ProductCode,EndContactPhone,EndContactMobile,HAWBNumber,ParcelIndex,ServiceCode,CustomerCode,CustomerNumber,ParcelWeight,SendersName,SenderAddressLine1,SenderAddressLine2,SendersAddressLine3,SendersAddressLine4,SendersPostcode,SendersCountryCode,CurrencyCode,ContainerID,OrderDate,RouteDestinationAirport,InvoiceFileName,ParcelCIFValue,Width,Length,Height,Incoterms,Misc1,UPCCode,MasterAirwayBillNumber,DepartingPortCode,FirmsCode
12345704,Ashley Barnes,980 2nd Ave,.,Schaumburg,IL,60173,US,1,2.7,Mens Shirt,100.06,CN,6205200000,1.35,1,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,ashleybarnes@gmail.com,278158234,4952295757,5968167735,WU00001652,1,CFS,Retailer2,RET1,2.7,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134547,04-21-2026,LAX,12345704.pdf,30.45,15,24,17,DDP,12345,603260608,695-11090645,LHR,E170
12345704,Ashley Barnes,980 2nd Ave,.,Schaumburg,IL,60173,US,1,2.7,Mens Shirt,85.47,BD,6205200000,0.68,2,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,ashleybarnes@gmail.com,570040006,4952295757,5968167735,WU00001652,2,CFS,Retailer2,RET1,2.7,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134547,04-21-2026,LAX,12345704.pdf,30.45,8,8,16,DDU,12345,748232591,695-11090645,LHR,E170
12345705,David Iannelli,334 Park Ave,.,New York,NY,10001,US,1,3.46,Womens Bags,59.05,VN,4202290000,1.73,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,davidiannelli@gmail.com,444733679,9182394708,7452508334,WU00001653,1,ECCF,Retailer2,RET1,3.46,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,EUR,US_97134547,07-21-2026,LAX,12345705.pdf,89.66,27,12,8,DDU,12345,542000551,695-11090645,LHR,E170
12345706,Eric Flores,778 2nd Ave,.,Pasadena,CA,91101,US,1,0.61,Kids Tshirt,76.6,BD,6109100000,0.15,2,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,ericflores@gmail.com,916033628,3953462417,3350840898,WU00001654,1,CFS,Retailer3,RET3,0.61,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,GBP,US_97134547,07-02-2026,LAX,12345706.pdf,7.4,7,19,11,DDP,12345,409268943,695-11090645,LHR,E170
12345706,Eric Flores,778 2nd Ave,.,Pasadena,CA,91101,US,1,0.61,Mens Jacket,106.3,CN,6201930000,0.15,2,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,ericflores@gmail.com,130998324,3953462417,3350840898,WU00001654,2,CFS,Retailer3,RET3,0.61,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,GBP,US_97134547,07-02-2026,LAX,12345706.pdf,7.4,26,21,25,DDP,12345,433665422,695-11090645,LHR,E170
12345707,Laura Iannelli,517 Main Ave,.,Evanston,IL,60201,US,1,2.95,Mens Jacket,33.03,IN,6201930000,0.98,3,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,lauraiannelli@aol.com,511872350,5921003983,8276870893,WU00001655,1,ECCF,Retailer3,RET3,2.95,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,07-27-2026,LAX,12345707.pdf,54.91,12,38,7,DDP,12345,396618390,695-11090645,LHR,E170
12345708,Ryan Long,906 3rd Ave,.,Naperville,IL,60540,US,1,3.78,Womens Shoes,57.36,IN,6403990000,0.94,2,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,ryanlong@outlook.com,848933239,5524233168,7509751481,WU00001656,1,ECCF,Retailer1,RET2,3.78,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,EUR,US_97134547,08-12-2026,LAX,12345708.pdf,57.89,13,30,10,DDU,12345,146865930,695-11090645,LHR,E170
12345708,Ryan Long,906 3rd Ave,.,Naperville,IL,60540,US,1,3.78,Kids Tshirt,90.64,BD,6109100000,0.63,3,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,ryanlong@outlook.com,514548900,5524233168,7509751481,WU00001656,2,ECCF,Retailer1,RET2,3.78,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,EUR,US_97134547,08-12-2026,LAX,12345708.pdf,57.89,27,15,18,DDP,12345,235555899,695-11090645,LHR,E170
12345709,Kevin Simmons,990 Main Ave,.,Naperville,IL,60540,US,1,3.28,Womens Bags,102.95,BD,4202290000,1.09,3,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,kevinsimmons@yahoo.com,440012324,6723225778,5910317247,WU00001657,1,CFS,Retailer1,RET2,3.28,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,06-20-2026,LAX,12345709.pdf,76.23,26,37,20,DDP,12345,762992051,695-11090645,LHR,E170
12345710,Tom Foster,800 Elm Ave,.,Torrance,CA,90501,US,1,3.45,Mens Casual,38.74,BD,6204430000,0.86,2,Mesh Insert Cut Out Skater D,Woven: Body 100.00% Polyester.,tomfoster@aol.com,256304376,5207337120,8158860552,WU00001658,1,CFS,Retailer2,RET1,3.45,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,01-02-2026,LAX,12345710.pdf,52.22,13,39,16,DDP,12345,282518553,695-11090645,LHR,E170
12345710,Tom Foster,800 Elm Ave,.,Torrance,CA,90501,US,1,3.45,Womans Bafs,14.08,IN,6103410000,0.86,2,Wool Pocket Carrot Trousers,Knitted: Fabric 50.0% Wool; 30.0% Viscose,tomfoster@aol.com,634366139,5207337120,8158860552,WU00001658,2,CFS,Retailer2,RET1,3.45,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,01-02-2026,LAX,12345710.pdf,52.22,24,15,10,DDU,12345,784944881,695-11090645,LHR,E170
12345711,David Patterson,782 Main Ave,.,Pasadena,CA,91101,US,1,0.42,Womens Shoes,103.13,IN,6403990000,0.14,1,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,davidpatterson@yahoo.com,509486794,5870665004,9205283887,WU00001659,1,ECCF,Retailer3,RET2,0.42,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,08-28-2026,LAX,12345711.pdf,6.15,24,28,21,DDU,12345,850845198,695-11090645,LHR,E170
12345711,David Patterson,782 Main Ave,.,Pasadena,CA,91101,US,1,0.42,Mens Shirt,7.52,BD,6205200000,0.05,3,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,davidpatterson@yahoo.com,394721069,5870665004,9205283887,WU00001659,2,ECCF,Retailer3,RET2,0.42,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,08-28-2026,LAX,12345711.pdf,6.15,6,9,22,DDU,12345,994253959,695-11090645,LHR,E170
